时间,价格(USDT),数量(HT),成交额(USDT),手续费
2021-03-09 08:50:38,15.6140,3.16,49.34024000,0.09868048 USDT
2021-03-12 22:55:47,14.3000,3.45,49.33500000,0.00690000 HT
